"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2024","5,744.75","5,802.00","5,808.00","5,734.25","1.21M","-0.95%"
"10/04/2024","5,800.00","5,745.75","5,804.75","5,741.00","1.46M","0.88%"
"10/03/2024","5,749.50","5,769.50","5,772.75","5,725.75","1.42M","-0.19%"
"10/02/2024","5,760.25","5,760.25","5,773.25","5,724.00","1.25M","0.01%"
"10/01/2024","5,759.75","5,807.00","5,822.50","5,733.00","1.95M","-0.94%"
"09/30/2024","5,814.25","5,784.00","5,820.25","5,756.25","1.50M","0.40%"
"09/27/2024","5,791.25","5,804.25","5,821.50","5,782.00","1.28M","-0.23%"
"09/26/2024","5,804.50","5,783.50","5,830.00","5,778.25","1.36M","0.44%"
"09/25/2024","5,779.00","5,792.25","5,798.75","5,768.00","1.04M","-0.22%"
"09/24/2024","5,792.00","5,774.00","5,794.25","5,754.75","1.18M","0.26%"
"09/23/2024","5,776.75","5,762.00","5,784.50","5,745.25","1.08M","0.26%"
"09/20/2024","5,762.00","5,776.00","5,776.75","5,733.50","1.62M","-0.28%"
"09/19/2024","5,778.00","5,693.00","5,797.50","5,691.00","1.74M","1.73%"
"09/18/2024","5,680.00","5,701.00","5,755.75","5,675.25","1.74M","-0.36%"
"09/17/2024","5,700.25","5,694.25","5,737.00","5,677.75","1.77M","0.02%"
"09/16/2024","5,699.25","5,684.00","5,702.75","5,669.50","1.74M","0.14%"
"09/13/2024","5,691.00","5,659.00","5,702.25","5,658.00","904.27K","0.50%"
"09/12/2024","5,662.50","5,617.50","5,667.00","5,600.25","264.61K","0.74%"
"09/11/2024","5,621.00","5,557.50","5,627.00","5,470.00","136.53K","1.05%"
"09/10/2024","5,562.50","5,546.25","5,564.50","5,506.50","59.27K","0.44%"
"09/09/2024","5,538.00","5,463.50","5,552.00","5,463.00","48.25K","1.11%"
"09/06/2024","5,477.00","5,571.00","5,590.50","5,451.25","69.91K","-1.68%"
"09/05/2024","5,570.75","5,586.75","5,616.50","5,548.50","32.76K","-0.32%"
"09/04/2024","5,588.75","5,600.00","5,624.25","5,566.50","35.86K","-0.22%"
"09/03/2024","5,601.25","5,719.00","5,730.50","5,576.25","14.71K","-2.12%"
"08/30/2024","5,722.50","5,680.50","5,726.50","5,655.00","14.48K","0.92%"
"08/29/2024","5,670.50","5,643.00","5,725.00","5,621.75","12.44K","0.00%"
"08/28/2024","5,670.50","5,705.00","5,710.75","5,636.25","9.69K","-0.61%"
"08/27/2024","5,705.25","5,685.75","5,709.75","5,673.00","10.45K","0.14%"
"08/26/2024","5,697.25","5,713.00","5,729.25","5,680.50","4.37K","-0.27%"
"08/23/2024","5,712.50","5,660.25","5,723.00","5,660.25","11.67K","1.04%"
"08/22/2024","5,653.75","5,705.75","5,724.75","5,643.25","8.68K","-0.83%"
"08/21/2024","5,701.25","5,680.25","5,715.50","5,673.50","3.43K","0.38%"
"08/20/2024","5,679.75","5,690.00","5,704.00","5,668.50","2.06K","-0.19%"
"08/19/2024","5,690.50","5,649.00","5,690.50","5,625.25","4.36K","0.93%"
"08/16/2024","5,638.00","5,626.75","5,645.75","5,596.50","2.70K","0.20%"
