"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2024","1.3083","1.3102","1.3134","1.3056","","-0.25%"
"10/04/2024","1.3116","1.3123","1.3174","1.3066","","-0.06%"
"10/03/2024","1.3124","1.3267","1.3274","1.3089","","-1.08%"
"10/02/2024","1.3267","1.3284","1.3305","1.3243","","-0.14%"
"10/01/2024","1.3285","1.3370","1.3389","1.3234","","-0.64%"
"09/30/2024","1.3370","1.3366","1.3422","1.3347","","-0.02%"
"09/27/2024","1.3373","1.3414","1.3427","1.3357","","-0.31%"
"09/26/2024","1.3415","1.3321","1.3434","1.3309","","0.69%"
"09/25/2024","1.3323","1.3412","1.3429","1.3309","","-0.66%"
"09/24/2024","1.3412","1.3345","1.3415","1.3329","","0.49%"
"09/23/2024","1.3346","1.3316","1.3359","1.3245","","0.19%"
"09/20/2024","1.3321","1.3284","1.3340","1.3265","","0.28%"
"09/19/2024","1.3284","1.3211","1.3314","1.3150","","0.54%"
"09/18/2024","1.3212","1.3160","1.3297","1.3153","","0.40%"
"09/17/2024","1.3160","1.3213","1.3229","1.3143","","-0.42%"
"09/16/2024","1.3216","1.3120","1.3218","1.3117","","0.72%"
"09/13/2024","1.3122","1.3124","1.3157","1.3112","","-0.01%"
"09/12/2024","1.3123","1.3043","1.3127","1.3029","","0.61%"
"09/11/2024","1.3043","1.3079","1.3111","1.2999","","-0.28%"
"09/10/2024","1.3079","1.3072","1.3107","1.3046","","0.05%"
"09/09/2024","1.3072","1.3114","1.3143","1.3065","","-0.39%"
"09/06/2024","1.3123","1.3176","1.3238","1.3107","","-0.39%"
"09/05/2024","1.3175","1.3146","1.3185","1.3134","","0.25%"
"09/04/2024","1.3142","1.3112","1.3175","1.3097","","0.24%"
"09/03/2024","1.3111","1.3149","1.3149","1.3084","","-0.29%"
"09/02/2024","1.3149","1.3119","1.3155","1.3117","","0.18%"
"08/30/2024","1.3126","1.3164","1.3199","1.3106","","-0.32%"
"08/29/2024","1.3168","1.3190","1.3227","1.3142","","-0.17%"
"08/28/2024","1.3190","1.3255","1.3262","1.3165","","-0.49%"
"08/27/2024","1.3255","1.3190","1.3266","1.3177","","0.49%"
"08/26/2024","1.3190","1.3210","1.3222","1.3177","","-0.14%"
"08/23/2024","1.3209","1.3089","1.3230","1.3082","","0.92%"
"08/22/2024","1.3088","1.3092","1.3129","1.3073","","-0.03%"
"08/21/2024","1.3092","1.3029","1.3119","1.3008","","0.48%"
"08/20/2024","1.3029","1.2993","1.3052","1.2971","","0.32%"
"08/19/2024","1.2988","1.2933","1.2997","1.2929","","0.34%"
"08/16/2024","1.2944","1.2851","1.2945","1.2849","","0.72%"
"08/15/2024","1.2851","1.2825","1.2871","1.2796","","0.20%"
"08/14/2024","1.2825","1.2861","1.2868","1.2818","","-0.25%"
"08/13/2024","1.2857","1.2764","1.2873","1.2757","","0.73%"
"08/12/2024","1.2764","1.2754","1.2794","1.2744","","0.04%"
"08/09/2024","1.2759","1.2746","1.2773","1.2723","","0.09%"
"08/08/2024","1.2747","1.2690","1.2752","1.2662","","0.44%"
"08/07/2024","1.2691","1.2689","1.2735","1.2678","","0.02%"
"08/06/2024","1.2689","1.2777","1.2803","1.2670","","-0.66%"
"08/05/2024","1.2773","1.2805","1.2817","1.2706","","-0.20%"
"08/02/2024","1.2798","1.2747","1.2839","1.2704","","0.46%"
"08/01/2024","1.2739","1.2856","1.2863","1.2724","","-0.91%"
"07/31/2024","1.2856","1.2834","1.2864","1.2818","","0.17%"
"07/30/2024","1.2834","1.2861","1.2866","1.2817","","-0.19%"
"07/29/2024","1.2859","1.2872","1.2888","1.2803","","-0.10%"
"07/26/2024","1.2872","1.2851","1.2878","1.2847","","0.16%"
"07/25/2024","1.2851","1.2905","1.2915","1.2847","","-0.43%"
"07/24/2024","1.2906","1.2905","1.2937","1.2874","","0.01%"
"07/23/2024","1.2905","1.2931","1.2934","1.2884","","-0.21%"
"07/22/2024","1.2932","1.2908","1.2942","1.2903","","0.10%"
"07/19/2024","1.2919","1.2941","1.2954","1.2898","","-0.17%"
"07/18/2024","1.2941","1.3008","1.3012","1.2937","","-0.52%"
"07/17/2024","1.3008","1.2971","1.3044","1.2963","","0.33%"
"07/16/2024","1.2965","1.2967","1.2979","1.2935","","-0.01%"
"07/15/2024","1.2966","1.2992","1.2994","1.2955","","-0.20%"
"07/12/2024","1.2992","1.2909","1.2993","1.2899","","0.64%"
"07/11/2024","1.2909","1.2847","1.2947","1.2844","","0.50%"
"07/10/2024","1.2845","1.2786","1.2849","1.2780","","0.49%"
"07/09/2024","1.2783","1.2808","1.2825","1.2775","","-0.16%"
"07/08/2024","1.2804","1.2786","1.2845","1.2786","","-0.03%"
"07/05/2024","1.2808","1.2757","1.2817","1.2751","","0.40%"
"07/04/2024","1.2757","1.2740","1.2767","1.2738","","0.13%"
"07/03/2024","1.2740","1.2675","1.2777","1.2671","","0.44%"
"07/02/2024","1.2684","1.2645","1.2687","1.2612","","0.29%"
"07/01/2024","1.2647","1.2640","1.2708","1.2630","","0.04%"
"06/28/2024","1.2642","1.2637","1.2663","1.2617","","0.03%"
"06/27/2024","1.2638","1.2623","1.2670","1.2610","","0.14%"
"06/26/2024","1.2620","1.2685","1.2693","1.2612","","-0.50%"
"06/25/2024","1.2683","1.2680","1.2702","1.2667","","0.03%"
"06/24/2024","1.2679","1.2645","1.2698","1.2629","","0.27%"
